book_name,book_link,author_name,author_profile,price
Burj Sour Kaya Hoga,http://www.libertybooks.com/urdu-books/Burj-Sour-Kaya-Hoga-28651?limit=100,By: Pro Shuja Aqeel,,Ex Tax:Rs 82.50
Cerfew ,http://www.libertybooks.com/urdu-books/Cerfew-28280?limit=100,By: N/A,,Ex Tax:Rs 435.00
Chaand Gahan,http://www.libertybooks.com/urdu-books/Chaand-Gahan-3918?limit=100,By: Intezar Hussain,,Ex Tax:Rs 375.00
Chalo Dekhtay hain,http://www.libertybooks.com/urdu-books/Chalo-Dekhtay-hain-28317?limit=100,By: Amra Alam,,Ex Tax:Rs 170.00
Chashmudin,http://www.libertybooks.com/urdu-books/Chashmudin-28345?limit=100,By: Sarah Ali Zaidi,,Ex Tax:Rs 145.00
Chef Shazia Gosht Kay Pakwan ,http://www.libertybooks.com/urdu-books/Chef-Shazia-Gosht-Kay-Pakwan-28618?limit=100,By: N/A,,Ex Tax:Rs 550.00
Chhota keera ,http://www.libertybooks.com/urdu-books/Chhota-keera-28505?limit=100,By: Yasmeen Zaidi,,Ex Tax:Rs 170.00
Chhoti Chhoti Kaali Kaali Machhliyaan,http://www.libertybooks.com/urdu-books/Chhoti-Chhoti-Kaali-Kaali-Machhliyaan-28416?limit=100,By: Kashifa Samad,,Ex Tax:Rs 170.00
Choband,http://www.libertybooks.com/urdu-books/Choband-33793?limit=100,By: Syed Irfan Ali Shah,,Ex Tax:Rs 127.50
Choon Choon Karti Ayee Chirya,http://www.libertybooks.com/urdu-books/Choon-Choon-Karti-Ayee-Chirya-28364?limit=100,By: Nishat Naqvi,,Ex Tax:Rs 170.00
Choti Behan Ka Pgala Bahi,http://www.libertybooks.com/urdu-books/choti-behan-ka-pgala-bahi?limit=100,By: Anayat Ulallah,,Ex Tax:Rs 135.00
Dalda Cook Book Urdu Edition ,http://www.libertybooks.com/urdu-books/dalda-cook-book-urdu-edition-1000000000600?limit=100,By: Perin Narayan,,"Ex Tax:Rs 1,395.00"
DashteWafa,http://www.libertybooks.com/urdu-books/dashtewafa-9789693523218?limit=100,By: Ahmed Nadeem Qasmi,,"Ex Tax:Rs 1,400.00"
Deyo Saai,http://www.libertybooks.com/urdu-books/deyo-saai-9789693513776?limit=100,By: Mustansar Hussain Tarar,,Ex Tax:Rs 600.00
Dhondo Gay Agar Mulkon Mulkon,http://www.libertybooks.com/urdu-books/Dhondo-Gay-Agar-Mulkon-Mulkon-33363?limit=100,By: Zohra Manzoor Illahi,,Ex Tax:Rs 375.00
Dil Nay Mere Kuch Tum Say Kaha Hai,http://www.libertybooks.com/urdu-books/dil-nay-mere-kuch-tum-say-kaha-hai-1000000004105?limit=100,By: Sarwar Sultana,,Ex Tax:Rs 200.00
Din Aur Dastan,http://www.libertybooks.com/urdu-books/Din-Aur-Dastan-3504?limit=100,By: Intezar Hussain,,Ex Tax:Rs 300.00
Drowna Daar,http://www.libertybooks.com/urdu-books/Drowna-Daar-28508?limit=100,By: Amra Alam,,Ex Tax:Rs 145.00
Faiz Kay Aas Pass,http://www.libertybooks.com/urdu-books/Faiz-Kay-Aas-Pass-34048?limit=100,By: Abdul Rauf Malik,,Ex Tax:Rs 300.00
Fatima Gul Akhir Mayra Kasor Kia -,http://www.libertybooks.com/urdu-books/Fatima-Gul-Akhir-Mayra-Kasor-Kia---28147?limit=100,By: N/A,,Ex Tax:Rs 187.50
Ferozul Lughat Pocket,http://www.libertybooks.com/urdu-books/Ferozul-Lughat-Pocket-26996?limit=100,By: Ferozesons,,Ex Tax:Rs 250.00
Folklore ki Pehli Kitab,http://www.libertybooks.com/urdu-books/Folklore-ki-Pehli-Kitab-34057?limit=100,By: Mazhar Ul Islam,,Ex Tax:Rs 390.00
Footpath Ki Ghaas,http://www.libertybooks.com/urdu-books/Footpath-Ki-Ghaas-3854?limit=100,By: Bano Qudsia,,"Ex Tax:Rs 2,200.00"
GarhaeNeem Baz Aur Dosray Darame,http://www.libertybooks.com/urdu-books/GarhaeNeem-Baz-Aur-Dosray-Darame-19979?limit=100,By: Agha Nasir,,Ex Tax:Rs 720.00
Ghalib Shaaur Aur Lashaaur Ka Shaair ,http://www.libertybooks.com/urdu-books/ghalib-shaaur-aur-lashaaur-ka-shaair-9789693527476?limit=100,By: Dr. Saleem Akhtar,,Ex Tax:Rs 525.00
Ghaza Pai Kia Guzri,http://www.libertybooks.com/urdu-books/Ghaza-Pai-Kia-Guzri-34502?limit=100,By: Mufti Mohammad Waseem Akram Qadri,,Ex Tax:Rs 157.50
Ghussy Ki Nai Fasal ,http://www.libertybooks.com/urdu-books/ghussy-ki-nai-fasal?limit=100,By: Asad Muhammad Khan,,Ex Tax:Rs 299.00
